,CONTESTANT,Round_Eliminated,First_Impression_Rose,Percentage Left after D1,Match Region,Match City,Political Difference,Age Difference
0,13_BRYAN_A,11,1,50.0,0,0,-6.0,5
1,13_PETER_K,10,0,80.0,0,0,-8.0,-1
2,13_ERIC_B,9,0,40.0,0,0,-20.0,-3
3,13_DEAN_U,8,0,60.0,0,0,-9.0,-6
4,13_ADAM_G,7,0,0.0,1,1,0.0,-5
5,13_MATT_M,7,0,0.0,0,0,-14.0,0
6,13_ALEX_B,6,0,0.0,0,0,-9.0,-4
7,13_WILL_G,6,0,40.0,0,0,-20.0,-4
8,13_KENNY_L,6,0,0.0,0,0,-6.0,3
9,13_ANTHONY_B,5,0,70.0,0,0,-15.0,-6
10,13_JOSIAH_G,5,0,0.0,0,0,-6.0,-4
11,13_LEE_G,5,0,0.0,0,0,-6.0,-2
12,13_IGGY_R,4,0,0.0,0,0,-20.0,-2
13,13_JONATHAN_T,4,0,0.0,0,0,7.0,-1
14,13_JACK_S,4,0,60.0,1,1,0.0,0
15,13_BRADY_E,3,0,0.0,0,0,-9.0,-3
16,13_BRYCE_P,3,0,0.0,0,0,-6.0,-2
17,13_DIGGY_M,3,0,0.0,0,0,-15.0,-1
18,13_FRED_J,3,0,0.0,1,1,0.0,-5
19,13_BLAKE_E,2,0,0.0,0,0,-20.0,-1
20,13_JAMEY_K,2,0,0.0,0,0,-20.0,0
21,13_LUCAS_Y,2,0,0.0,0,0,-20.0,-2
22,13_DEMARIO_J,2,0,0.0,0,0,-20.0,-2
23,13_BLAKE_K,1,0,0.0,0,0,-20.0,-3
24,13_GRANT_H,1,0,0.0,0,0,-6.0,-3
25,13_JEDIDIAH_B,1,0,0.0,0,0,-3.0,3
26,13_KYLE_S,1,0,0.0,0,0,-14.0,-6
27,13_MICHAEL_B,1,0,0.0,0,0,-15.0,-6
28,13_MILTON_L,1,0,0.0,0,0,-6.0,-1
29,13_MOHIT_S,1,0,0.0,0,0,-20.0,-6
30,13_ROB_H,1,0,0.0,0,0,-8.0,-2
31,12_JORDAN_R,11,1,50.0,0,0,-20.0,1
32,12_ROBBY_H,10,0,20.0,0,0,-6.0,1
33,12_CHASE_M,9,0,70.0,0,0,-9.0,1
34,12_LUKE_P,8,0,60.0,1,0,0.0,5
35,12_JAMES_T,7,0,70.0,0,0,-9.0,3
36,12_ALEX_W,7,0,30.0,0,0,-20.0,-1
37,12_DEREK_P,6,0,80.0,0,0,-5.0,3
38,12_WELLS_A,6,0,40.0,0,0,-20.0,5
39,12_GRANT_K,5,0,0.0,0,0,-20.0,1
40,12_EVAN_B,5,0,0.0,0,0,-14.0,7
41,12_JAMES_F,4,0,0.0,0,0,6.0,8
42,12_DANIEL_M,4,0,0.0,0,0,-15.0,5
43,12_CHAD_J,4,0,0.0,0,0,12.0,2
44,12_NICK_B,3,0,0.0,0,0,-15.0,7
