,CONTESTANT,SHOW,Round_Eliminated,First_Impression_Rose,Percentage Left after D1,Match Region,Match City,Political Difference,Age Difference
0,13_BRYAN_A,Bachelorette,0,1,50.0,0,0,-6.0,5
1,13_PETER_K,Bachelorette,10,0,80.0,0,0,-8.0,-1
2,13_ERIC_B,Bachelorette,9,0,40.0,0,0,-20.0,-3
3,13_DEAN_U,Bachelorette,8,0,60.0,0,0,-9.0,-6
4,13_ADAM_G,Bachelorette,7,0,,1,1,0.0,-5
5,13_MATT_M,Bachelorette,7,0,,0,0,-14.0,0
6,13_ALEX_B,Bachelorette,6,0,,0,0,-9.0,-4
7,13_WILL_G,Bachelorette,6,0,40.0,0,0,-20.0,-4
8,13_KENNY_L,Bachelorette,6,0,,0,0,-6.0,3
9,13_ANTHONY_B,Bachelorette,5,0,70.0,0,0,-15.0,-6
10,13_JOSIAH_G,Bachelorette,5,0,,0,0,-6.0,-4
11,13_LEE_G,Bachelorette,5,0,,0,0,-6.0,-2
12,13_IGGY_R,Bachelorette,4,0,,0,0,-20.0,-2
13,13_JONATHAN_T,Bachelorette,4,0,,0,0,-6.0,-1
14,13_JACK_S,Bachelorette,4,0,60.0,1,1,0.0,0
15,13_BRADY_E,Bachelorette,3,0,,0,0,-9.0,-3
16,13_BRYCE_P,Bachelorette,3,0,,0,0,-6.0,-2
17,13_DIGGY_M,Bachelorette,3,0,,0,0,-15.0,-1
18,13_FRED_J,Bachelorette,3,0,,1,1,0.0,-5
19,13_BLAKE_E,Bachelorette,2,0,,0,0,-20.0,-1
20,13_JAMEY_K,Bachelorette,2,0,,0,0,-20.0,0
21,13_LUCAS_Y,Bachelorette,2,0,,0,0,-20.0,-2
22,13_DEMARIO_J,Bachelorette,2,0,,0,0,-20.0,-2
23,13_BLAKE_K,Bachelorette,1,0,,0,0,-20.0,-3
24,13_GRANT_H,Bachelorette,1,0,,0,0,-6.0,-3
25,13_JEDIDIAH_B,Bachelorette,1,0,,0,0,-3.0,3
26,13_KYLE_S,Bachelorette,1,0,,0,0,-14.0,-6
27,13_MICHAEL_B,Bachelorette,1,0,,0,0,-15.0,-6
28,13_MILTON_L,Bachelorette,1,0,,0,0,-6.0,-1
29,13_MOHIT_S,Bachelorette,1,0,,0,0,-20.0,-6
30,13_ROB_H,Bachelorette,1,0,,0,0,-8.0,-2
31,12_JORDAN_R,Bachelorette,0,1,50.0,0,0,-20.0,1
32,12_ROBBY_H,Bachelorette,10,0,20.0,0,0,-6.0,1
33,12_CHASE_M,Bachelorette,9,0,70.0,0,0,-9.0,1
34,12_LUKE_P,Bachelorette,8,0,60.0,1,0,0.0,5
35,12_JAMES_T,Bachelorette,7,0,70.0,0,0,-9.0,3
36,12_ALEX_W,Bachelorette,7,0,30.0,0,0,-20.0,-1
37,12_DEREK_P,Bachelorette,6,0,80.0,0,0,-5.0,3
38,12_WELLS_A,Bachelorette,6,0,40.0,0,0,-20.0,5
39,12_GRANT_K,Bachelorette,5,0,,0,0,-20.0,1
40,12_EVAN_B,Bachelorette,5,0,,0,0,-14.0,7
41,12_JAMES_F,Bachelorette,4,0,,0,0,6.0,8
42,12_DANIEL_M,Bachelorette,4,0,,0,0,-15.0,5
43,12_CHAD_J,Bachelorette,4,0,,0,0,12.0,2
