,index,SHOW,SEASON,CONTESTANT,1,2,3,4,5,6,7,8,9,10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10,MAX_EPISODE
0,1,Bachelorette,13,13_BRYAN_A,R1,,,R,R,,R,,,W,,,D6,D13,D1,D7,D1,D1,D1,D1,10
1,2,Bachelorette,13,13_PETER_K,,R,,,,R,R,,,E,,D1,D6,D13,D9,D7,D1,D1,D1,D1,10
2,3,Bachelorette,13,13_ERIC_B,,,R,,,R,R,,E,,,D10,D8,D13,D9,D1,D3,D1,D1,,10
3,4,Bachelorette,13,13_DEAN_U,,R,,R,,,R,E,,,,D8,D8,D1,D9,D7,D1,D1,,,10
4,5,Bachelorette,13,13_ADAM_G,,,,,,,ED,,,,,D10,D8,D13,D9,D7,D3,,,,10
5,6,Bachelorette,13,13_MATT_M,,,,,,,ED,,,,,D10,,D13,D9,D7,D3,,,,10
6,7,Bachelorette,13,13_ALEX_B,,,R,,,E,,,,,,D10,D6,D13,D9,D7,,,,,10
7,8,Bachelorette,13,13_WILL_G,,,,,R,ED,,,,,,D10,D6,D13,D9,D1,,,,,10
8,9,Bachelorette,13,13_KENNY_L,,,,,R,ED,,,,,,D8,D8,D13,D2,D7,,,,,10
9,10,Bachelorette,13,13_ANTHONY_B,,,R,,E,,,,,,,,D1,D13,D9,,,,,,10
10,11,Bachelorette,13,13_JOSIAH_G,,R,,,E,,,,,,,D10,,D13,D9,,,,,,10
11,12,Bachelorette,13,13_LEE_G,,,,,ED,,,,,,,D10,D8,D13,D2,,,,,,10
12,13,Bachelorette,13,13_IGGY_R,,,,E,,,,,,,,D8,,D13,,,,,,,10
13,14,Bachelorette,13,13_JONATHAN_T,,,,E,,,,,,,,D8,D6,D13,,,,,,,10
14,15,Bachelorette,13,13_JACK_S,,,,ED,,,,,,,,D8,D8,D1,,,,,,,10
15,16,Bachelorette,13,13_BRADY_E,,,E,,,,,,,,,,D8,,,,,,,,10
16,17,Bachelorette,13,13_BRYCE_P,,,E,,,,,,,,,,D8,,,,,,,,10
17,18,Bachelorette,13,13_DIGGY_M,,,E,,,,,,,,,D10,,,,,,,,,10
18,19,Bachelorette,13,13_FRED_J,,,ED,,,,,,,,,D8,D6,,,,,,,,10
19,20,Bachelorette,13,13_BLAKE_E,,E,,,,,,,,,,D8,,,,,,,,,10
20,21,Bachelorette,13,13_JAMEY_K,,E,,,,,,,,,,D10,,,,,,,,,10
21,22,Bachelorette,13,13_LUCAS_Y,,E,,,,,,,,,,D8,,,,,,,,,10
22,23,Bachelorette,13,13_DEMARIO_J,,EU,,,,,,,,,,D10,,,,,,,,,10
23,24,Bachelorette,13,13_BLAKE_K,E,,,,,,,,,,,,,,,,,,,,10
24,25,Bachelorette,13,13_GRANT_H,E,,,,,,,,,,,,,,,,,,,,10
25,26,Bachelorette,13,13_JEDIDIAH_B,E,,,,,,,,,,,,,,,,,,,,10
26,27,Bachelorette,13,13_KYLE_S,E,,,,,,,,,,,,,,,,,,,,10
27,28,Bachelorette,13,13_MICHAEL_B,E,,,,,,,,,,,,,,,,,,,,10
28,29,Bachelorette,13,13_MILTON_L,E,,,,,,,,,,,,,,,,,,,,10
29,30,Bachelorette,13,13_MOHIT_S,E,,,,,,,,,,,,,,,,,,,,10
30,31,Bachelorette,13,13_ROB_H,E,,,,,,,,,,,,,,,,,,,,10
31,33,Bachelorette,12,12_JORDAN_R,R1,,,R,R,,,,,W,,D6,D12,D11,D1,D5,D1,D1,D1,D1,10
32,34,Bachelorette,12,12_ROBBY_H,,,,,R,,R,,,E,,D10,,D11,D9,D5,D3,D1,D1,D1,10
33,35,Bachelorette,12,12_CHASE_M,,,R,,,R,,,ED,,,,D1,D11,D9,D2,D3,D1,D1,,10
34,36,Bachelorette,12,12_LUKE_P,,,,R,,R,,E,,,,D10,,D1,D9,D5,D1,D1,,,10
35,37,Bachelorette,12,12_JAMES_T,,R,R,,,,E,,,,,D6,D1,D11,D9,D5,D3,,,,10
36,38,Bachelorette,12,12_ALEX_W,,,,R,,,ED,,,,,D6,D12,D2,D9,D5,D1,,,,10
37,39,Bachelorette,12,12_DEREK_P,,R,,,R,ED,,,,,,D1,,D11,D1,D2,,,,,10
